time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
309000,SAT_64911,STARLINK-34718,SAT,-1487422.27,5922675.65,3102854.51,475.95,-1,10.0.3.141,64911,612.21,6849.687436271981
309000,SAT_64928,STARLINK-34248,SAT,-1853515.52,5574967.68,3520914.85,476.81,-1,10.0.3.158,64928,623.59,6849.279217324694
309000,SAT_53996,STARLINK-5131,SAT,-1780253.9,5901771.22,3131171.77,540.34,-1,10.0.3.191,53996,659.3,6914.0757975980005
309000,SAT_59943,STARLINK-31973,SAT,-1573210.51,5947837.1,3028288.07,483.33,-1,10.0.3.18,59943,666.42,6857.279789524065
309000,SAT_57671,STARLINK-30296,SAT,-1194757.4,6029055.96,3023762.19,475.87,-1,10.0.3.41,57671,684.52,6849.8247273444795
310000,SAT_62474,STARLINK-11502 [DTC],SAT,-1669808.16,5588474.33,3356233.29,356.51,-1,10.0.3.254,62474,412.07,6729.309513254369
310000,SAT_58748,STARLINK-31165,SAT,-1442035.74,5847853.52,3311149.87,500.02,-1,10.0.3.98,58748,511.12,6873.177673275641
310000,SAT_60445,STARLINK-32228,SAT,-1734179.83,5673760.51,3422266.37,476.37,-1,10.0.3.10,60445,542.79,6849.149225622645
310000,SAT_57931,STARLINK-30488,SAT,-1603140.48,5708933.23,3590994.53,559.95,-1,10.0.3.46,57931,582.48,6932.331479214103
310000,SAT_60935,STARLINK-11253 [DTC],SAT,-1177228.2,5869782.12,3083263.63,360.36,-1,10.0.3.245,60935,592.71,6733.997548501759
310000,SAT_64911,STARLINK-34718,SAT,-1491341.72,5919041.93,3107884.74,475.96,-1,10.0.3.141,64911,612.21,6849.679193366325
310000,SAT_64928,STARLINK-34248,SAT,-1857282.52,5570747.8,3525589.91,476.82,-1,10.0.3.158,64928,623.59,6849.271028642114
310000,SAT_53996,STARLINK-5131,SAT,-1785444.28,5902872.23,3126155.13,540.33,-1,10.0.3.191,53996,659.3,6914.084012905486
310000,SAT_59943,STARLINK-31973,SAT,-1578286.34,5944467.47,3032248.85,483.33,-1,10.0.3.18,59943,666.42,6857.27455781414
310000,SAT_57671,STARLINK-30296,SAT,-1199807.12,6030614.95,3018668.62,475.86,-1,10.0.3.41,57671,684.52,6849.8331394085
311000,SAT_62474,STARLINK-11502 [DTC],SAT,-1676215.53,5588711.02,3352652.38,356.5,-1,10.0.3.254,62474,412.07,6729.314032589227
311000,SAT_58748,STARLINK-31165,SAT,-1448266.82,5848400.7,3307472.49,500.02,-1,10.0.3.98,58748,511.12,6873.182799968309
311000,SAT_60445,STARLINK-32228,SAT,-1739623.12,5674978.7,3417496.68,476.36,-1,10.0.3.10,60445,542.79,6849.157276840943
311000,SAT_57931,STARLINK-30488,SAT,-1608415.6,5705327.32,3594355.78,559.96,-1,10.0.3.46,57931,582.48,6932.326740992606
311000,SAT_60935,STARLINK-11253 [DTC],SAT,-1181375.69,5866284.94,3088310.76,360.37,-1,10.0.3.245,60935,592.71,6733.989223968624
311000,SAT_64911,STARLINK-34718,SAT,-1495259.86,5915401.47,3112911.11,475.97,-1,10.0.3.141,64911,612.21,6849.670954065371
311000,SAT_64928,STARLINK-34248,SAT,-1861047.84,5566521.59,3530260.59,476.83,-1,10.0.3.158,64928,623.59,6849.262844132349
311000,SAT_53996,STARLINK-5131,SAT,-1790632.36,5903966.91,3121134.71,540.33,-1,10.0.3.191,53996,659.3,6914.092232608768
311000,SAT_59943,STARLINK-31973,SAT,-1583360.72,5941091.26,3036205.86,483.34,-1,10.0.3.18,59943,666.42,6857.269321937534
311000,SAT_57671,STARLINK-30296,SAT,-1204855.14,6032167.23,3013571.31,475.86,-1,10.0.3.41,57671,684.52,6849.841563096581
312000,SAT_62474,STARLINK-11502 [DTC],SAT,-1682620.69,5588941.36,3349067.06,356.5,-1,10.0.3.254,62474,412.07,6729.318545314361
312000,SAT_58748,STARLINK-31165,SAT,-1454496.05,5848941.63,3303791.05,500.01,-1,10.0.3.98,58748,511.12,6873.18792502233
312000,SAT_60445,STARLINK-32228,SAT,-1745064.08,5676190.67,3412722.73,476.36,-1,10.0.3.10,60445,542.79,6849.165321216881
312000,SAT_57931,STARLINK-30488,SAT,-1613689.33,5701715.38,3597712.72,559.96,-1,10.0.3.46,57931,582.48,6932.322002326075
