time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
2100,UAV_02,RELAY,UAV,-1336756.2,5364333.6,3171177.1,10.0.0.3,222.4,99.8
2100,UAV_03,RELAY,UAV,-1338630.2,5363911.4,3171101.4,10.0.0.4,336.3,99.8
2100,UAV_04,RELAY,UAV,-1335922.6,5364858.0,3170645.1,10.0.0.5,181.5,99.8
2100,UAV_05,RELAY,UAV,-1337889.0,5365348.4,3168996.9,10.0.0.6,84.9,99.8
2100,UAV_06,RELAY,UAV,-1336849.7,5363570.4,3172420.6,10.0.0.7,259.1,99.8
2100,UAV_07,RELAY,UAV,-1336923.2,5363437.5,3172613.1,10.0.0.8,261.8,99.8
2200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2200,UAV_01,RELAY,UAV,-1337495.5,5364473.0,3170633.1,10.0.0.2,217.9,99.8
2200,UAV_02,RELAY,UAV,-1336755.4,5364334.4,3171176.1,10.0.0.3,222.4,99.8
2200,UAV_03,RELAY,UAV,-1338629.4,5363910.9,3171102.6,10.0.0.4,336.3,99.8
2200,UAV_04,RELAY,UAV,-1335922.8,5364858.7,3170643.8,10.0.0.5,180.2,99.8
2200,UAV_05,RELAY,UAV,-1337890.4,5365348.0,3168997.0,10.0.0.6,84.9,99.8
2200,UAV_06,RELAY,UAV,-1336848.3,5363570.9,3172420.3,10.0.0.7,259.1,99.8
2200,UAV_07,RELAY,UAV,-1336921.7,5363437.9,3172613.0,10.0.0.8,261.8,99.8
2300,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2300,UAV_01,RELAY,UAV,-1337494.8,5364473.8,3170632.0,10.0.0.2,211.8,99.8
2300,UAV_02,RELAY,UAV,-1336754.5,5364335.2,3171175.2,10.0.0.3,222.4,99.8
2300,UAV_03,RELAY,UAV,-1338628.6,5363910.4,3171103.8,10.0.0.4,336.3,99.8
2300,UAV_04,RELAY,UAV,-1335923.0,5364859.5,3170642.5,10.0.0.5,180.2,99.8
2300,UAV_05,RELAY,UAV,-1337891.9,5365347.6,3168997.1,10.0.0.6,84.9,99.8
2300,UAV_06,RELAY,UAV,-1336846.9,5363571.4,3172420.1,10.0.0.7,259.1,99.8
2300,UAV_07,RELAY,UAV,-1336920.3,5363438.4,3172612.8,10.0.0.8,261.8,99.8
2400,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2400,UAV_01,RELAY,UAV,-1337494.2,5364474.6,3170630.9,10.0.0.2,207.3,99.8
2400,UAV_02,RELAY,UAV,-1336753.7,5364335.9,3171174.2,10.0.0.3,222.4,99.8
2400,UAV_03,RELAY,UAV,-1338627.9,5363909.9,3171105.0,10.0.0.4,336.3,99.8
2400,UAV_04,RELAY,UAV,-1335923.1,5364860.2,3170641.2,10.0.0.5,180.2,99.8
2400,UAV_05,RELAY,UAV,-1337893.3,5365347.2,3168997.2,10.0.0.6,84.9,99.8
2400,UAV_06,RELAY,UAV,-1336845.5,5363571.9,3172419.8,10.0.0.7,257.8,99.8
2400,UAV_07,RELAY,UAV,-1336918.9,5363438.9,3172612.6,10.0.0.8,261.8,99.8
2500,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2500,UAV_01,RELAY,UAV,-1337493.8,5364475.4,3170629.7,10.0.0.2,202.8,99.8
2500,UAV_02,RELAY,UAV,-1336752.8,5364336.7,3171173.3,10.0.0.3,222.4,99.8
2500,UAV_03,RELAY,UAV,-1338627.1,5363909.3,3171106.2,10.0.0.4,336.3,99.8
2500,UAV_04,RELAY,UAV,-1335923.3,5364860.9,3170639.9,10.0.0.5,180.2,99.8
2500,UAV_05,RELAY,UAV,-1337894.7,5365346.7,3168997.4,10.0.0.6,84.9,99.8
2500,UAV_06,RELAY,UAV,-1336844.1,5363572.4,3172419.5,10.0.0.7,257.8,99.8
2500,UAV_07,RELAY,UAV,-1336917.5,5363439.3,3172612.4,10.0.0.8,261.8,99.8
2600,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2600,UAV_01,RELAY,UAV,-1337493.4,5364476.2,3170628.5,10.0.0.2,198.2,99.7
2600,UAV_02,RELAY,UAV,-1336752.0,5364337.5,3171172.3,10.0.0.3,222.4,99.7
2600,UAV_03,RELAY,UAV,-1338626.4,5363908.8,3171107.3,10.0.0.4,336.3,99.7
2600,UAV_04,RELAY,UAV,-1335923.5,5364861.7,3170638.6,10.0.0.5,180.2,99.7
2600,UAV_05,RELAY,UAV,-1337896.2,5365346.3,3168997.5,10.0.0.6,84.9,99.7
